Weekday,WeekdaySort,hour_of_day,total_revenue,total_orders,avg_order_value
pon.,1,6,61.72,2,30.86
pon.,1,7,694.12,19,39.118095238095243
pon.,1,8,1241.24,38,35.291428571428575
pon.,1,9,1184.44,36,34.778947368421051
pon.,1,10,1690.7800000000002,45,42.659622641509429
pon.,1,11,1319.0400000000002,36,42.54883720930232
pon.,1,12,759.7600000000001,23,35.7392
pon.,1,13,856.23999999999978,23,42.563571428571436
pon.,1,14,1418.22,33,49.5
pon.,1,15,1236.78,31,46.942000000000007
pon.,1,16,1540.1000000000001,38,47.633043478260866
pon.,1,17,1203.8800000000003,30,46.822162162162172
pon.,1,18,1135.2800000000002,31,40.162285714285716
pon.,1,19,1495.0600000000002,37,44.933636363636346
pon.,1,20,736.54000000000008,19,43.055652173913046
pon.,1,21,932.1,22,47.894285714285722
pon.,1,22,419.8,11,41.636923076923082
wt.,2,7,486.41999999999996,13,41.637333333333338
wt.,2,8,1465.1000000000008,44,36.37755102040817
wt.,2,9,1286.9200000000003,33,45.7147619047619
wt.,2,10,1693.3200000000002,45,41.797777777777782
wt.,2,11,1728.1599999999999,47,41.076785714285727
wt.,2,12,918.94000000000028,23,44.934666666666665
wt.,2,13,675.0,20,36.693636363636365
wt.,2,14,1007.6200000000001,26,42.427096774193544
wt.,2,15,810.68000000000006,23,37.462962962962962
wt.,2,16,1599.84,39,47.476
wt.,2,17,1244.04,28,56.102702702702707
wt.,2,18,1176.3400000000001,27,51.104571428571433
wt.,2,19,1817.02,39,53.496666666666663
wt.,2,20,1242.76,31,44.444324324324327
wt.,2,21,1052.6800000000003,22,57.015151515151523
wt.,2,22,432.53999999999996,10,48.193846153846152
śr.,3,7,551.07999999999993,17,32.416470588235292
śr.,3,8,897.88000000000011,26,37.616551724137935
śr.,3,9,763.66000000000008,24,32.388
śr.,3,10,1543.8199999999997,40,44.622448979591837
śr.,3,11,1378.8800000000003,39,40.48936170212766
śr.,3,12,1066.9199999999998,31,37.996756756756753
śr.,3,13,1328.44,36,41.8140909090909
śr.,3,14,518.3599999999999,14,41.460000000000008
śr.,3,15,1020.4799999999999,27,41.07225806451612
śr.,3,16,1448.3199999999997,40,39.173181818181817
śr.,3,17,1094.14,31,38.874857142857152
śr.,3,18,1138.9,31,41.679428571428581
śr.,3,19,1194.5800000000004,28,48.599444444444444
śr.,3,20,832.2600000000001,20,49.7096
śr.,3,21,979.69999999999993,25,43.466
śr.,3,22,336.03999999999996,8,47.417999999999992
czw.,4,7,416.85999999999996,13,32.066153846153846
czw.,4,8,670.10000000000014,19,38.741818181818182
czw.,4,9,1026.7000000000003,33,32.127647058823534
czw.,4,10,1606.6600000000008,45,38.753461538461536
czw.,4,11,976.00000000000011,28,39.060000000000009
czw.,4,12,866.02,26,36.655333333333346
czw.,4,13,992.91999999999985,24,54.420645161290331
czw.,4,14,994.86000000000013,27,40.478181818181817
czw.,4,15,1109.5000000000002,32,37.410285714285713
czw.,4,16,1240.28,30,49.7555
czw.,4,17,1195.8400000000001,32,42.103783783783769
czw.,4,18,1008.1200000000002,26,43.711333333333329
czw.,4,19,1526.7200000000003,37,46.198636363636361
czw.,4,20,987.54000000000008,25,44.086666666666659
czw.,4,21,1413.2200000000003,27,62.3479069767442
czw.,4,22,446.05999999999995,12,40.958571428571425
pt.,5,6,87.68,2,49.800000000000004
pt.,5,7,575.07999999999993,17,35.377777777777773
pt.,5,8,1480.7800000000004,41,39.876734693877559
pt.,5,9,1532.5,45,37.901923076923069
pt.,5,10,1451.8400000000001,41,38.643043478260871
pt.,5,11,868.4799999999999,27,34.339310344827588
pt.,5,12,1193.7600000000004,31,42.775675675675679
pt.,5,13,1156.3600000000004,29,44.802777777777777
pt.,5,14,1089.6200000000001,26,46.7429411764706
pt.,5,15,1165.1200000000001,30,43.178378378378383
pt.,5,16,1198.0400000000002,30,44.600000000000009
pt.,5,17,1338.26,36,42.22
pt.,5,18,1004.6800000000002,26,42.743225806451619
pt.,5,19,898.40000000000009,18,58.783076923076926
pt.,5,20,526.1,13,45.8625
pt.,5,21,553.04,15,40.023529411764706
pt.,5,22,1137.92,27,49.502857142857152
sob.,6,7,95.62,3,31.873333333333331
sob.,6,8,683.80000000000007,19,42.655833333333327
sob.,6,9,993.38000000000011,29,36.909999999999989
sob.,6,10,1264.58,38,35.878604651162789
sob.,6,11,1677.24,44,41.369824561403526
sob.,6,12,1484.82,35,56.918297872340425
sob.,6,13,1095.14,25,51.50363636363636
sob.,6,14,1220.2200000000003,31,43.94108108108108
sob.,6,15,1283.5600000000002,32,44.986153846153847
sob.,6,16,1372.5600000000002,30,58.175714285714278
sob.,6,17,987.16000000000031,25,42.930666666666674
sob.,6,18,579.98,15,43.705555555555556
sob.,6,19,632.4000000000002,13,57.157894736842096
sob.,6,20,727.24,15,53.140000000000015
sob.,6,21,390.9,10,43.515
sob.,6,22,693.91999999999985,18,44.321818181818188
niedz.,7,7,120.84,2,60.42
niedz.,7,8,578.9799999999999,18,34.827
niedz.,7,9,641.68000000000018,17,42.570909090909083
niedz.,7,10,1743.52,42,49.713076923076919
niedz.,7,11,901.30000000000007,24,44.934666666666665
niedz.,7,12,1378.3999999999999,32,53.334418604651169
niedz.,7,13,1004.6600000000001,25,48.523636363636349
niedz.,7,14,1016.9000000000001,25,47.658235294117645
niedz.,7,15,1162.9000000000003,28,46.181666666666665
niedz.,7,16,822.46,21,43.5576
niedz.,7,17,861.68000000000018,22,43.35307692307692
niedz.,7,18,1192.3,23,65.83
niedz.,7,19,402.78,9,51.118333333333325
niedz.,7,20,604.4799999999999,14,50.318888888888893
niedz.,7,21,1144.3000000000002,29,44.591176470588238
niedz.,7,22,280.88,9,31.20888888888889