coffee_a,coffee_b,co_occurrence_count,Support_AB,Confidence_A_to_B,Confidence_B_to_A,Lift
Americano with Milk,Latte,36,0.012064343163538873,0.047872340425531915,0.049180327868852458,0.19515172654342519
Americano with Milk,Cappuccino,31,0.010388739946380697,0.041223404255319146,0.067245119305856832,0.266834356394517
Hot Chocolate,Latte,30,0.010053619302949061,0.11811023622047244,0.040983606557377046,0.48147670065831938
Cappuccino,Latte,29,0.0097184986595174258,0.062906724511930592,0.039617486338797817,0.25643943434918148
Americano,Americano with Milk,28,0.00938337801608579,0.05533596837944664,0.037234042553191488,0.21957783197376166
Cocoa,Latte,18,0.0060321715817694367,0.084112149532710276,0.024590163934426229,0.34288340738470963
Americano,Cappuccino,17,0.0056970509383378019,0.033596837944664032,0.0368763557483731,0.21746846947261927
Cappuccino,Hot Chocolate,14,0.0046916890080428951,0.030368763557483729,0.055118110236220472,0.3567731907698089
Americano,Espresso,12,0.0040214477211796247,0.023715415019762844,0.09375,0.55286561264822132
Americano,Cortado,12,0.0040214477211796247,0.023715415019762844,0.046153846153846156,0.27217999391912434