sales_month,monthly_orders,monthly_revenue,orders_growth_mom,revenue_growth_mom
2024-03,172,7050.199999999978,,
2024-04,156,6720.559999999984,-0.093,-0.0468
2024-05,212,9063.42,0.359,0.3486
2024-06,176,7758.7599999999966,-0.1698,-0.1439
2024-07,197,6915.9400000000123,0.1193,-0.1086
2024-08,219,7613.8400000000092,0.1117,0.1009
2024-09,272,9988.6400000000031,0.242,0.3119
2024-10,333,13891.160000000033,0.2243,0.3907
2024-11,210,8590.5400000000282,-0.3694,-0.3816
2024-12,212,8237.7400000000216,0.0095,-0.0411
2025-01,167,6398.860000000016,-0.2123,-0.2232
2025-02,369,13215.480000000023,1.2096,1.0653
2025-03,289,9986.4400000000278,-0.2168,-0.2443