card,customer_type,R_recency_days_since_last_purchase,F_total_orders,M_lifetime_value,avg_products_per_order_per_customer,avg_order_value_per_customer
ANON-0000-0000-0012,CARD,62,88,6380.0800000000081,1.682170542635659,49.457984496124027
ANON-0000-0000-0141,CARD,50,90,3728.4200000000023,1.3518518518518523,34.5224074074074
ANON-0000-0000-1163,CARD,2,56,3638.9799999999991,1.5974025974025969,47.259480519480505
ANON-0000-0000-0276,CARD,52,59,2837.6599999999985,1.318840579710145,41.125507246376813
ANON-0000-0000-0507,CARD,2,38,2792.7000000000003,1.5490196078431373,54.758823529411764
ANON-0000-0000-0009,CARD,225,61,2776.0400000000013,1.1791044776119404,41.433432835820895
ANON-0000-0000-0040,CARD,94,33,2535.3999999999996,1.68,50.708
ANON-0000-0000-0003,CARD,156,18,1719.78,1.9677419354838703,55.47677419354838
ANON-0000-0000-0097,CARD,88,45,1599.3400000000011,1.0851063829787235,34.028510638297874
ANON-0000-0000-0570,CARD,73,25,1418.6399999999999,1.3333333333333335,47.28799999999999
ANON-0000-0000-1110,CARD,2,28,1165.2799999999995,1.303030303030303,35.311515151515152
ANON-0000-0000-0206,CARD,68,19,1151.6599999999999,1.4347826086956521,50.072173913043478
ANON-0000-0000-0637,CARD,118,10,1084.06,1.8235294117647058,63.768235294117645
ANON-0000-0000-0333,CARD,51,16,1060.0200000000002,1.5454545454545456,48.182727272727277
ANON-0000-0000-1191,CARD,2,26,1037.04,1.0740740740740742,38.408888888888889
ANON-0000-0000-0134,CARD,223,7,903.80000000000041,1.9230769230769229,69.523076923076914
ANON-0000-0000-1170,CARD,2,31,902.24,1.0625,28.195
ANON-0000-0000-0180,CARD,272,7,875.88,2.0,72.99
ANON-0000-0000-1165,CARD,2,18,858.2399999999999,1.2,42.912
ANON-0000-0000-1158,CARD,0,18,858.2399999999999,1.2,42.912
ANON-0000-0000-1152,CARD,1,20,845.94000000000028,1.2608695652173916,36.78
ANON-0000-0000-1034,CARD,58,6,838.12000000000012,2.4545454545454546,76.192727272727268
ANON-0000-0000-1161,CARD,3,19,757.31999999999994,1.0999999999999999,37.866
ANON-0000-0000-0696,CARD,111,18,750.95999999999992,1.1052631578947369,39.524210526315784
ANON-0000-0000-0154,CARD,88,5,736.76,2.0,73.676
ANON-0000-0000-0019,CARD,2,20,719.58,1.0952380952380953,34.265714285714289
ANON-0000-0000-0375,CARD,135,17,708.28000000000009,1.3,35.413999999999994
ANON-0000-0000-0543,CARD,120,9,682.30000000000007,1.8,45.486666666666657
ANON-0000-0000-0004,CARD,170,8,677.94,1.8333333333333333,56.495000000000005
ANON-0000-0000-1198,CARD,17,11,668.60000000000014,1.6666666666666667,44.573333333333338
ANON-0000-0000-0001,CARD,290,17,646.14000000000021,1.0,38.008235294117647
ANON-0000-0000-0650,CARD,154,5,642.1400000000001,2.2727272727272729,58.376363636363642
ANON-0000-0000-1179,CARD,20,9,638.77999999999986,1.4999999999999998,53.231666666666669
ANON-0000-0000-0385,CARD,72,15,631.4000000000002,1.2352941176470589,37.141176470588235
ANON-0000-0000-0819,CARD,93,7,576.54000000000008,1.7272727272727275,52.412727272727274
ANON-0000-0000-0455,CARD,138,4,556.45999999999992,2.25,69.5575
ANON-0000-0000-0531,CARD,174,4,554.5,2.25,69.3125
ANON-0000-0000-0059,CARD,239,9,540.76,1.6666666666666667,45.063333333333333
ANON-0000-0000-0634,CARD,67,3,540.30000000000007,2.4285714285714288,77.1857142857143
ANON-0000-0000-0408,CARD,177,5,538.8,2.0,53.879999999999995
ANON-0000-0000-0225,CARD,140,8,536.84,1.6666666666666667,44.736666666666665
ANON-0000-0000-1167,CARD,4,17,519.19999999999993,1.1111111111111112,28.844444444444445
ANON-0000-0000-0283,CARD,197,4,516.80000000000007,2.1428571428571428,73.828571428571422
ANON-0000-0000-1276,CARD,3,5,490.83999999999992,1.75,61.355000000000004
ANON-0000-0000-0153,CARD,235,4,485.46,1.8571428571428572,69.351428571428571
ANON-0000-0000-0192,CARD,218,5,479.0800000000001,1.75,59.885
ANON-0000-0000-0142,CARD,327,5,469.28000000000003,1.75,58.660000000000004
ANON-0000-0000-0702,CARD,157,2,464.88,2.6,92.976
ANON-0000-0000-1164,CARD,16,7,464.87999999999994,1.4444444444444444,51.653333333333336
ANON-0000-0000-1003,CARD,83,4,462.37999999999994,2.25,57.7975
ANON-0000-0000-0731,CARD,67,4,455.07999999999993,1.8571428571428572,65.011428571428567
ANON-0000-0000-0224,CARD,50,8,451.64000000000004,1.4,45.164
ANON-0000-0000-0494,CARD,100,13,450.17999999999995,1.0,34.629230769230766
ANON-0000-0000-1184,CARD,12,13,450.17999999999989,1.0,34.629230769230766
ANON-0000-0000-0554,CARD,187,4,448.20000000000005,2.1428571428571428,64.028571428571439
ANON-0000-0000-0118,CARD,318,3,444.78,2.3333333333333335,74.13
ANON-0000-0000-0665,CARD,168,2,428.62,2.6,85.724
ANON-0000-0000-0384,CARD,235,4,426.65999999999997,1.8571428571428572,60.951428571428572
ANON-0000-0000-0172,CARD,120,4,423.24,2.0,70.54
ANON-0000-0000-0024,CARD,293,12,422.26,1.0,35.188333333333333
ANON-0000-0000-0304,CARD,50,8,422.24,1.4,42.224000000000004
ANON-0000-0000-0683,CARD,120,10,415.88,1.1818181818181819,37.807272727272732
ANON-0000-0000-0440,CARD,160,4,410.97999999999996,1.8571428571428572,58.71142857142857
ANON-0000-0000-0287,CARD,128,4,394.32,1.8571428571428572,56.331428571428575
ANON-0000-0000-0906,CARD,65,11,393.35999999999996,1.0,35.76
ANON-0000-0000-1029,CARD,68,15,389.39999999999992,1.0,25.96
ANON-0000-0000-1178,CARD,20,8,388.45999999999992,1.2222222222222223,43.162222222222212
ANON-0000-0000-0877,CARD,65,5,383.56,1.5714285714285714,54.794285714285714
ANON-0000-0000-1160,CARD,34,10,376.68000000000006,1.1818181818181819,34.243636363636362
ANON-0000-0000-0303,CARD,259,2,372.29999999999995,2.5,93.075
ANON-0000-0000-0571,CARD,144,3,368.36,2.0,61.393333333333338
ANON-0000-0000-0685,CARD,110,2,357.6,2.5,89.4
ANON-0000-0000-1045,CARD,58,4,357.59999999999997,1.6666666666666667,59.6
ANON-0000-0000-1153,CARD,6,11,344.36000000000007,1.0,31.305454545454545
ANON-0000-0000-1156,CARD,23,10,337.99999999999994,1.0,33.8
ANON-0000-0000-1189,CARD,16,6,321.84,1.2857142857142858,45.977142857142859
ANON-0000-0000-1157,CARD,12,10,313.50000000000006,1.0,31.349999999999998
ANON-0000-0000-0055,CARD,362,2,309.6,2.0,77.4
ANON-0000-0000-1203,CARD,5,11,305.16000000000008,1.0,27.741818181818182
ANON-0000-0000-0194,CARD,257,3,300.28000000000003,1.8,60.056000000000004
ANON-0000-0000-0510,CARD,157,9,297.34,1.0,33.037777777777777
ANON-0000-0000-0258,CARD,157,3,292.44,1.8,58.488
ANON-0000-0000-1089,CARD,71,2,286.08,2.0,71.52
ANON-0000-0000-0922,CARD,101,2,286.08,2.0,71.52
ANON-0000-0000-0788,CARD,150,2,286.08,2.0,71.52
ANON-0000-0000-0690,CARD,79,8,286.08,1.0,35.76
ANON-0000-0000-1168,CARD,5,8,286.08,1.0,35.76
ANON-0000-0000-1196,CARD,0,5,286.08,1.3333333333333333,47.68
ANON-0000-0000-1190,CARD,15,8,285.56000000000006,1.2222222222222223,31.728888888888889
ANON-0000-0000-0195,CARD,82,3,284.6,1.8,56.92
ANON-0000-0000-0220,CARD,291,2,282.15999999999997,2.0,70.539999999999992
ANON-0000-0000-0920,CARD,83,2,276.28,2.0,69.07
ANON-0000-0000-0876,CARD,100,2,266.47999999999996,2.0,66.62
ANON-0000-0000-0203,CARD,271,4,264.03999999999996,1.4,52.808
ANON-0000-0000-0270,CARD,263,2,252.76000000000005,2.0,63.190000000000005
ANON-0000-0000-0347,CARD,147,7,252.74,1.25,31.5925
ANON-0000-0000-1162,CARD,15,8,251.78000000000003,1.0,31.4725
ANON-0000-0000-1210,CARD,12,7,250.31999999999996,1.0,35.76
ANON-0000-0000-0636,CARD,91,4,247.38,1.4,49.476
ANON-0000-0000-1215,CARD,5,5,246.88,1.3333333333333333,41.146666666666661
ANON-0000-0000-1051,CARD,60,2,246.88,2.0,61.72
ANON-0000-0000-1200,CARD,34,7,245.41999999999996,1.0,35.059999999999995
ANON-0000-0000-0480,CARD,224,2,242.96,2.0,60.74
ANON-0000-0000-0046,CARD,8,4,242.48000000000002,1.4,48.496
ANON-0000-0000-0842,CARD,70,5,241.98,1.3333333333333333,40.330000000000005
ANON-0000-0000-0050,CARD,69,8,235.12,1.0,29.39
ANON-0000-0000-0164,CARD,272,7,234.64,1.0,33.52
ANON-0000-0000-0401,CARD,232,2,233.16000000000003,2.0,58.290000000000006
ANON-0000-0000-0017,CARD,343,6,232.2,1.0,38.7
ANON-0000-0000-1274,CARD,1,4,230.72,1.4,46.144
ANON-0000-0000-0475,CARD,166,7,227.77999999999997,1.0,32.54
ANON-0000-0000-0463,CARD,60,4,222.88,1.4,44.576
ANON-0000-0000-0250,CARD,236,3,221.42,1.5,55.355
ANON-0000-0000-1222,CARD,4,7,216.02000000000004,1.0,30.86
ANON-0000-0000-0148,CARD,320,4,215.04,1.4,43.007999999999996
ANON-0000-0000-0714,CARD,97,3,214.56,1.5,53.64
ANON-0000-0000-1212,CARD,13,3,214.56,1.5,53.64
ANON-0000-0000-1244,CARD,20,3,214.56,1.5,53.64
ANON-0000-0000-1257,CARD,13,3,214.56,1.5,53.64
ANON-0000-0000-1114,CARD,50,3,214.56,1.5,53.64
ANON-0000-0000-0938,CARD,103,3,214.56,1.5,53.64
ANON-0000-0000-0871,CARD,118,3,214.56,1.5,53.64
ANON-0000-0000-0828,CARD,136,3,214.56,1.5,53.64
ANON-0000-0000-1171,CARD,12,6,214.04000000000002,1.2857142857142858,30.577142857142857
ANON-0000-0000-0077,CARD,210,6,207.7,1.0,34.616666666666667
ANON-0000-0000-0622,CARD,137,3,206.71999999999997,1.5,51.679999999999993
ANON-0000-0000-0033,CARD,310,4,206.22000000000003,1.4,41.244
ANON-0000-0000-0143,CARD,262,4,205.24,1.4,41.048
ANON-0000-0000-0268,CARD,195,3,201.82,1.5,50.455
ANON-0000-0000-0602,CARD,175,3,199.86,1.5,49.965
ANON-0000-0000-0583,CARD,180,3,196.92000000000002,1.5,49.23
ANON-0000-0000-0311,CARD,226,6,196.92,1.0,32.82
ANON-0000-0000-0120,CARD,307,2,192.52,1.6666666666666667,64.173333333333332
ANON-0000-0000-0069,CARD,311,5,191.54000000000002,1.0,38.308
ANON-0000-0000-0267,CARD,290,2,188.6,1.6666666666666667,62.866666666666667
ANON-0000-0000-0313,CARD,157,2,186.64,1.6666666666666667,62.213333333333331
ANON-0000-0000-0334,CARD,148,2,186.64,1.6666666666666667,62.213333333333331
ANON-0000-0000-1169,CARD,31,3,180.26,1.5,45.065
ANON-0000-0000-0257,CARD,146,5,179.78,1.0,35.956
ANON-0000-0000-0787,CARD,105,2,178.8,1.6666666666666667,59.6
ANON-0000-0000-0729,CARD,84,2,178.8,1.6666666666666667,59.6
ANON-0000-0000-0703,CARD,143,5,178.79999999999998,1.0,35.76
ANON-0000-0000-0886,CARD,66,5,178.79999999999998,1.0,35.76
ANON-0000-0000-0261,CARD,4,2,176.84,1.6666666666666667,58.946666666666665
ANON-0000-0000-1207,CARD,9,7,176.82,1.0,25.26
ANON-0000-0000-0726,CARD,153,5,173.89999999999998,1.0,34.779999999999994
ANON-0000-0000-0299,CARD,278,2,169.0,1.6666666666666667,56.333333333333336
ANON-0000-0000-0713,CARD,164,2,169.0,1.6666666666666667,56.333333333333336
ANON-0000-0000-0339,CARD,240,2,169.0,1.6666666666666667,56.333333333333336
ANON-0000-0000-1020,CARD,92,2,169.0,1.6666666666666667,56.333333333333336
ANON-0000-0000-1132,CARD,49,2,169.0,1.6666666666666667,56.333333333333329
ANON-0000-0000-0205,CARD,242,2,169.0,1.6666666666666667,56.333333333333336
ANON-0000-0000-0355,CARD,155,2,167.04000000000002,1.6666666666666667,55.68
ANON-0000-0000-0598,CARD,167,2,167.04000000000002,1.6666666666666667,55.68
ANON-0000-0000-0923,CARD,124,2,164.10000000000002,1.6666666666666667,54.7
ANON-0000-0000-0425,CARD,191,5,164.1,1.0,32.82
ANON-0000-0000-0736,CARD,159,2,164.1,1.6666666666666667,54.699999999999996
ANON-0000-0000-1192,CARD,34,2,159.2,1.6666666666666667,53.066666666666663
ANON-0000-0000-0771,CARD,108,2,159.2,1.6666666666666667,53.066666666666663
ANON-0000-0000-0402,CARD,149,4,159.18,1.4,31.836000000000002
ANON-0000-0000-0579,CARD,108,2,157.24,1.6666666666666667,52.413333333333334
ANON-0000-0000-0658,CARD,165,2,156.26,1.6666666666666667,52.086666666666666
ANON-0000-0000-1217,CARD,8,5,154.3,1.0,30.86
ANON-0000-0000-1248,CARD,18,2,154.3,1.6666666666666667,51.43333333333333
ANON-0000-0000-1166,CARD,5,5,154.3,1.0,30.86
ANON-0000-0000-0328,CARD,228,5,154.29999999999998,1.0,30.86
ANON-0000-0000-0025,CARD,293,4,151.86,1.0,37.965
ANON-0000-0000-1039,CARD,89,2,149.4,1.6666666666666667,49.8
ANON-0000-0000-1271,CARD,9,2,149.4,1.6666666666666667,49.800000000000004
ANON-0000-0000-0419,CARD,66,5,145.48000000000002,1.0,29.096
ANON-0000-0000-0049,CARD,348,4,145.0,1.0,36.25
ANON-0000-0000-0892,CARD,129,4,143.04,1.0,35.76
ANON-0000-0000-1275,CARD,0,4,143.04,1.0,35.76
ANON-0000-0000-0666,CARD,176,2,139.60000000000002,1.6666666666666667,46.533333333333339
ANON-0000-0000-0641,CARD,181,2,139.60000000000002,1.6666666666666667,46.533333333333339
ANON-0000-0000-1097,CARD,66,4,138.14,1.0,34.535
ANON-0000-0000-0329,CARD,73,4,137.16,1.0,34.29
ANON-0000-0000-0099,CARD,182,5,135.68,1.0,27.136
ANON-0000-0000-0181,CARD,203,2,134.70000000000002,1.6666666666666667,44.900000000000006
ANON-0000-0000-0513,CARD,219,2,134.70000000000002,1.6666666666666667,44.900000000000006
ANON-0000-0000-0467,CARD,175,5,132.74,1.0,26.548000000000002
ANON-0000-0000-0367,CARD,223,4,131.28,1.0,32.82
ANON-0000-0000-0450,CARD,221,2,124.9,1.6666666666666667,41.63333333333334
ANON-0000-0000-0388,CARD,235,2,124.9,1.6666666666666667,41.633333333333333
ANON-0000-0000-0620,CARD,79,4,122.46000000000001,1.0,30.615000000000002
ANON-0000-0000-0242,CARD,146,4,122.46000000000001,1.0,30.615
ANON-0000-0000-1290,CARD,3,2,120.0,1.6666666666666667,40.0
ANON-0000-0000-1069,CARD,50,4,118.53999999999999,1.0,29.634999999999998
ANON-0000-0000-0091,CARD,348,3,116.10000000000001,1.0,38.7
ANON-0000-0000-0878,CARD,27,4,113.64,1.0,28.41
ANON-0000-0000-1194,CARD,10,4,113.64,1.0,28.41
ANON-0000-0000-0423,CARD,234,4,111.68,1.0,27.92
ANON-0000-0000-0191,CARD,293,3,108.25999999999999,1.0,36.086666666666666
ANON-0000-0000-0232,CARD,220,3,108.25999999999999,1.0,36.086666666666666
ANON-0000-0000-0804,CARD,145,3,107.28,1.0,35.76
ANON-0000-0000-1259,CARD,1,3,107.28,1.0,35.76
ANON-0000-0000-1185,CARD,12,3,107.28,1.0,35.76
ANON-0000-0000-0903,CARD,117,3,107.28,1.0,35.76
ANON-0000-0000-1234,CARD,19,3,107.28,1.0,35.76
ANON-0000-0000-1227,CARD,4,3,107.28,1.0,35.76
ANON-0000-0000-1155,CARD,16,3,107.28,1.0,35.76
ANON-0000-0000-0197,CARD,54,3,106.3,1.0,35.43333333333333
ANON-0000-0000-0664,CARD,96,3,104.34,1.0,34.78
ANON-0000-0000-0525,CARD,80,3,104.34,1.0,34.78
ANON-0000-0000-0612,CARD,99,3,104.34,1.0,34.78
ANON-0000-0000-1306,CARD,1,4,103.84,1.0,25.96
ANON-0000-0000-0179,CARD,202,3,103.36,1.0,34.453333333333333
ANON-0000-0000-0748,CARD,100,3,102.38,1.0,34.126666666666665
ANON-0000-0000-1220,CARD,27,3,102.38,1.0,34.126666666666665
ANON-0000-0000-0042,CARD,90,3,102.38,1.0,34.126666666666665
ANON-0000-0000-0631,CARD,174,3,101.4,1.0,33.8
ANON-0000-0000-0682,CARD,68,3,99.44,1.0,33.146666666666668
ANON-0000-0000-0399,CARD,241,3,98.460000000000008,1.0,32.82
ANON-0000-0000-0621,CARD,187,3,98.460000000000008,1.0,32.82
ANON-0000-0000-0582,CARD,195,3,98.460000000000008,1.0,32.82
ANON-0000-0000-0565,CARD,192,3,98.460000000000008,1.0,32.82
ANON-0000-0000-0442,CARD,225,3,98.460000000000008,1.0,32.82
ANON-0000-0000-0584,CARD,181,4,96.98,1.0,24.245
ANON-0000-0000-0472,CARD,178,3,93.56,1.0,31.186666666666667
ANON-0000-0000-0695,CARD,142,3,92.58,1.0,30.86
ANON-0000-0000-1082,CARD,61,3,92.58,1.0,30.86
ANON-0000-0000-0769,CARD,125,3,92.58,1.0,30.86
ANON-0000-0000-1293,CARD,3,3,92.58,1.0,30.86
ANON-0000-0000-0274,CARD,153,4,90.11999999999999,1.0,22.53
ANON-0000-0000-0365,CARD,253,3,88.66,1.0,29.553333333333335
ANON-0000-0000-0379,CARD,240,3,88.66,1.0,29.553333333333335
ANON-0000-0000-0064,CARD,341,3,86.699999999999989,1.0,28.9
ANON-0000-0000-0095,CARD,29,4,86.199999999999989,1.0,21.55
ANON-0000-0000-1218,CARD,33,3,82.78,1.0,27.593333333333334
ANON-0000-0000-0700,CARD,153,3,77.88,1.0,25.96
ANON-0000-0000-1176,CARD,19,3,77.88,1.0,25.96
ANON-0000-0000-0088,CARD,359,2,77.4,1.0,38.7
ANON-0000-0000-0106,CARD,346,2,77.4,1.0,38.7
ANON-0000-0000-0026,CARD,316,2,76.42,1.0,38.21
ANON-0000-0000-0081,CARD,303,2,76.42,1.0,38.21
ANON-0000-0000-0058,CARD,261,2,76.42,1.0,38.21
ANON-0000-0000-0115,CARD,316,2,76.42,1.0,38.21
ANON-0000-0000-0140,CARD,328,2,75.44,1.0,37.72
ANON-0000-0000-0256,CARD,284,2,75.44,1.0,37.72
ANON-0000-0000-0255,CARD,172,2,73.47999999999999,1.0,36.739999999999995
ANON-0000-0000-0228,CARD,140,2,73.47999999999999,1.0,36.739999999999995
ANON-0000-0000-0159,CARD,146,2,73.47999999999999,1.0,36.739999999999995
ANON-0000-0000-0137,CARD,149,2,73.47999999999999,1.0,36.739999999999995
ANON-0000-0000-1262,CARD,16,2,71.52,1.0,35.76
ANON-0000-0000-1295,CARD,4,2,71.52,1.0,35.76
ANON-0000-0000-0715,CARD,148,2,71.52,1.0,35.76
ANON-0000-0000-0798,CARD,98,2,71.52,1.0,35.76
ANON-0000-0000-0791,CARD,153,2,71.52,1.0,35.76
ANON-0000-0000-0789,CARD,153,2,71.52,1.0,35.76
ANON-0000-0000-1254,CARD,22,2,71.52,1.0,35.76
ANON-0000-0000-0783,CARD,109,2,71.52,1.0,35.76
ANON-0000-0000-0780,CARD,156,2,71.52,1.0,35.76
ANON-0000-0000-0751,CARD,153,2,71.52,1.0,35.76
ANON-0000-0000-0740,CARD,163,2,71.52,1.0,35.76
ANON-0000-0000-0725,CARD,163,2,71.52,1.0,35.76
ANON-0000-0000-0907,CARD,96,2,71.52,1.0,35.76
ANON-0000-0000-0722,CARD,138,2,71.52,1.0,35.76
ANON-0000-0000-1246,CARD,19,2,71.52,1.0,35.76
ANON-0000-0000-1264,CARD,11,2,71.52,1.0,35.76
ANON-0000-0000-1000,CARD,78,2,71.52,1.0,35.76
ANON-0000-0000-1010,CARD,61,2,71.52,1.0,35.76
ANON-0000-0000-1233,CARD,3,2,71.52,1.0,35.76
ANON-0000-0000-0707,CARD,146,2,71.52,1.0,35.76
ANON-0000-0000-1279,CARD,1,2,71.52,1.0,35.76
ANON-0000-0000-0701,CARD,86,2,71.52,1.0,35.76
ANON-0000-0000-1209,CARD,12,2,71.52,1.0,35.76
ANON-0000-0000-1208,CARD,24,2,71.52,1.0,35.76
ANON-0000-0000-1294,CARD,7,2,71.52,1.0,35.76
ANON-0000-0000-1201,CARD,36,2,71.52,1.0,35.76
ANON-0000-0000-1298,CARD,3,2,71.52,1.0,35.76
ANON-0000-0000-1199,CARD,11,2,71.52,1.0,35.76
ANON-0000-0000-1177,CARD,27,2,71.52,1.0,35.76
ANON-0000-0000-1182,CARD,32,2,71.52,1.0,35.76
ANON-0000-0000-0799,CARD,145,2,71.52,1.0,35.76
ANON-0000-0000-0168,CARD,201,2,70.539999999999992,1.0,35.269999999999996
ANON-0000-0000-0178,CARD,254,2,70.539999999999992,1.0,35.269999999999996
ANON-0000-0000-0445,CARD,176,2,68.58,1.0,34.29
ANON-0000-0000-0409,CARD,106,2,68.58,1.0,34.29
ANON-0000-0000-0406,CARD,66,2,68.58,1.0,34.29
ANON-0000-0000-0028,CARD,383,2,67.6,1.0,33.8
ANON-0000-0000-0035,CARD,377,2,67.6,1.0,33.8
ANON-0000-0000-0048,CARD,375,2,67.6,1.0,33.8
ANON-0000-0000-0085,CARD,339,2,67.6,1.0,33.8
ANON-0000-0000-0896,CARD,97,2,66.62,1.0,33.31
ANON-0000-0000-0491,CARD,216,2,65.64,1.0,32.82
ANON-0000-0000-0456,CARD,218,2,65.64,1.0,32.82
ANON-0000-0000-0322,CARD,232,2,65.64,1.0,32.82
ANON-0000-0000-0414,CARD,224,2,65.64,1.0,32.82
ANON-0000-0000-0133,CARD,325,2,65.64,1.0,32.82
ANON-0000-0000-0084,CARD,149,2,64.66,1.0,32.33
ANON-0000-0000-0550,CARD,154,2,63.68,1.0,31.84
ANON-0000-0000-0585,CARD,173,2,63.68,1.0,31.84
ANON-0000-0000-1202,CARD,34,3,63.179999999999993,1.0,21.06
ANON-0000-0000-1237,CARD,24,3,63.179999999999993,1.0,21.06
ANON-0000-0000-0862,CARD,52,2,61.72,1.0,30.86
ANON-0000-0000-1247,CARD,25,2,61.72,1.0,30.86
ANON-0000-0000-1219,CARD,4,2,61.72,1.0,30.86
ANON-0000-0000-1187,CARD,19,2,61.72,1.0,30.86
ANON-0000-0000-1256,CARD,20,2,61.72,1.0,30.86
ANON-0000-0000-1267,CARD,1,2,61.72,1.0,30.86
ANON-0000-0000-1133,CARD,51,2,61.72,1.0,30.86
ANON-0000-0000-1174,CARD,19,2,61.72,1.0,30.86
ANON-0000-0000-0727,CARD,85,2,61.72,1.0,30.86
ANON-0000-0000-0691,CARD,131,2,61.72,1.0,30.86
ANON-0000-0000-0851,CARD,128,2,61.72,1.0,30.86
ANON-0000-0000-0976,CARD,105,2,61.72,1.0,30.86
ANON-0000-0000-0177,CARD,254,2,60.74,1.0,30.37
ANON-0000-0000-0420,CARD,227,2,60.74,1.0,30.37
ANON-0000-0000-0295,CARD,283,2,60.739999999999995,1.0,30.369999999999997
ANON-0000-0000-0319,CARD,192,2,60.739999999999995,1.0,30.369999999999997
ANON-0000-0000-0054,CARD,156,2,59.76,1.0,29.88
ANON-0000-0000-0533,CARD,69,2,58.78,1.0,29.39
ANON-0000-0000-0633,CARD,174,2,58.78,1.0,29.39
ANON-0000-0000-0265,CARD,49,2,58.78,1.0,29.39
ANON-0000-0000-0427,CARD,50,2,58.78,1.0,29.39
ANON-0000-0000-0518,CARD,151,2,58.78,1.0,29.39
ANON-0000-0000-0032,CARD,362,2,57.8,1.0,28.9
ANON-0000-0000-1216,CARD,17,2,56.82,1.0,28.41
ANON-0000-0000-0764,CARD,158,2,56.82,1.0,28.41
ANON-0000-0000-0734,CARD,144,2,56.82,1.0,28.41
ANON-0000-0000-0802,CARD,104,2,56.82,1.0,28.41
ANON-0000-0000-0630,CARD,187,2,55.84,1.0,27.92
ANON-0000-0000-0552,CARD,191,2,55.84,1.0,27.92
ANON-0000-0000-0573,CARD,181,2,55.84,1.0,27.92
ANON-0000-0000-0453,CARD,228,2,55.84,1.0,27.92
ANON-0000-0000-0429,CARD,219,2,55.84,1.0,27.92
ANON-0000-0000-0302,CARD,127,2,53.88,1.0,26.94
ANON-0000-0000-0424,CARD,165,2,53.879999999999995,1.0,26.939999999999998
ANON-0000-0000-1260,CARD,16,2,51.92,1.0,25.96
ANON-0000-0000-0742,CARD,137,2,51.92,1.0,25.96
ANON-0000-0000-1206,CARD,34,2,51.92,1.0,25.96
ANON-0000-0000-1188,CARD,39,2,51.92,1.0,25.96
ANON-0000-0000-1214,CARD,9,2,51.92,1.0,25.96
ANON-0000-0000-1309,CARD,1,2,51.92,1.0,25.96
ANON-0000-0000-1232,CARD,30,2,51.92,1.0,25.96
ANON-0000-0000-0277,CARD,218,2,50.94,1.0,25.47
ANON-0000-0000-0486,CARD,196,2,46.04,1.0,23.02
ANON-0000-0000-0395,CARD,243,2,46.04,1.0,23.02
ANON-0000-0000-0371,CARD,204,2,46.04,1.0,23.02
ANON-0000-0000-0627,CARD,185,2,46.04,1.0,23.02
ANON-0000-0000-0348,CARD,73,2,44.08,1.0,22.04
ANON-0000-0000-1302,CARD,1,2,42.12,1.0,21.06